starttime	seconds	ctime	dtime	ttime	wait
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	12
Fri Jul 18 18:01:11 2025	1752850871	7	6	13	5
Fri Jul 18 18:01:11 2025	1752850871	2	11	13	9
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	1	13	13	12
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	1	12	13	11
Fri Jul 18 18:01:12 2025	1752850872	1	12	13	12
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	2	11	13	10
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	12
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	12
Fri Jul 18 18:01:12 2025	1752850872	6	8	13	6
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	12
Fri Jul 18 18:01:12 2025	1752850872	5	8	13	7
Fri Jul 18 18:01:11 2025	1752850871	1	12	13	9
Fri Jul 18 18:01:11 2025	1752850871	10	3	13	3
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	3	10	13	6
Fri Jul 18 18:01:11 2025	1752850871	1	12	13	10
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	9
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	10
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	1	12	13	10
Fri Jul 18 18:01:11 2025	1752850871	2	11	13	10
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	3	10	13	9
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	12
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	3	10	13	9
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	12
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	11
Fri Jul 18 18:01:11 2025	1752850871	3	10	13	10
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	11
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	2	11	13	11
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	8
Fri Jul 18 18:01:10 2025	1752850870	2	12	13	10
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	1	12	13	9
Fri Jul 18 18:01:11 2025	1752850871	2	11	13	10
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	12
Fri Jul 18 18:01:12 2025	1752850872	1	12	13	12
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	7
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	13
Fri Jul 18 18:01:13 2025	1752850873	1	12	13	12
Fri Jul 18 18:01:12 2025	1752850872	2	11	13	9
Fri Jul 18 18:01:13 2025	1752850873	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	1	13	13	8
Fri Jul 18 18:01:11 2025	1752850871	2	11	13	9
Fri Jul 18 18:01:11 2025	1752850871	2	11	13	9
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	3	11	13	8
Fri Jul 18 18:01:11 2025	1752850871	1	12	13	9
Fri Jul 18 18:01:11 2025	1752850871	1	12	13	12
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	13
Fri Jul 18 18:01:13 2025	1752850873	0	13	13	11
Fri Jul 18 18:01:10 2025	1752850870	1	12	13	9
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	9
Fri Jul 18 18:01:11 2025	1752850871	1	13	13	8
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	3	10	13	9
Fri Jul 18 18:01:12 2025	1752850872	1	13	13	9
Fri Jul 18 18:01:12 2025	1752850872	2	11	13	11
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	13
Fri Jul 18 18:01:10 2025	1752850870	1	13	13	9
Fri Jul 18 18:01:11 2025	1752850871	2	11	13	7
Fri Jul 18 18:01:12 2025	1752850872	1	13	13	13
Fri Jul 18 18:01:13 2025	1752850873	0	13	13	9
Fri Jul 18 18:01:10 2025	1752850870	2	11	13	11
Fri Jul 18 18:01:12 2025	1752850872	4	9	13	9
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	12
Fri Jul 18 18:01:12 2025	1752850872	2	11	13	11
Fri Jul 18 18:01:12 2025	1752850872	1	13	13	12
Fri Jul 18 18:01:12 2025	1752850872	5	8	13	8
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	9
Fri Jul 18 18:01:10 2025	1752850870	1	12	13	12
Fri Jul 18 18:01:11 2025	1752850871	1	13	13	7
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	12
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	1	13	13	11
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	9	4	13	4
Fri Jul 18 18:01:12 2025	1752850872	1	12	13	8
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	8
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	11
Fri Jul 18 18:01:10 2025	1752850870	1	12	13	11
Fri Jul 18 18:01:12 2025	1752850872	4	9	13	9
Fri Jul 18 18:01:10 2025	1752850870	1	12	13	12
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	10
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	3	10	13	7
Fri Jul 18 18:01:11 2025	1752850871	1	12	13	12
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	12
Fri Jul 18 18:01:12 2025	1752850872	8	6	13	5
Fri Jul 18 18:01:12 2025	1752850872	3	11	13	10
Fri Jul 18 18:01:10 2025	1752850870	1	12	13	12
Fri Jul 18 18:01:13 2025	1752850873	1	12	13	12
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	2	11	13	10
Fri Jul 18 18:01:11 2025	1752850871	2	12	13	9
Fri Jul 18 18:01:11 2025	1752850871	3	10	13	8
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	8
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	11
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	2	12	13	10
Fri Jul 18 18:01:10 2025	1752850870	1	12	13	9
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	2	11	13	5
Fri Jul 18 18:01:11 2025	1752850871	2	11	13	9
Fri Jul 18 18:01:11 2025	1752850871	1	12	13	10
Fri Jul 18 18:01:12 2025	1752850872	1	12	13	12
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	8
Fri Jul 18 18:01:11 2025	1752850871	2	12	13	11
Fri Jul 18 18:01:11 2025	1752850871	7	7	13	6
Fri Jul 18 18:01:11 2025	1752850871	2	11	13	9
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	12
Fri Jul 18 18:01:11 2025	1752850871	1	13	13	7
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	3	10	13	10
Fri Jul 18 18:01:12 2025	1752850872	2	12	13	9
Fri Jul 18 18:01:11 2025	1752850871	4	10	13	9
Fri Jul 18 18:01:11 2025	1752850871	1	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	5	8	13	6
Fri Jul 18 18:01:12 2025	1752850872	8	5	13	5
Fri Jul 18 18:01:11 2025	1752850871	3	10	13	10
Fri Jul 18 18:01:11 2025	1752850871	1	13	13	11
Fri Jul 18 18:01:11 2025	1752850871	2	12	13	11
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	10
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	8
Fri Jul 18 18:01:12 2025	1752850872	4	9	13	9
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	3	11	13	8
Fri Jul 18 18:01:11 2025	1752850871	1	13	13	12
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	11
Fri Jul 18 18:01:12 2025	1752850872	1	12	13	11
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	2	11	13	11
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	3	11	13	10
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	12
Fri Jul 18 18:01:11 2025	1752850871	2	11	13	11
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	12
Fri Jul 18 18:01:10 2025	1752850870	1	12	13	11
Fri Jul 18 18:01:10 2025	1752850870	1	12	13	12
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	2	11	13	10
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	8
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	11
Fri Jul 18 18:01:12 2025	1752850872	5	8	13	6
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	2	11	13	11
Fri Jul 18 18:01:12 2025	1752850872	1	13	13	9
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	9
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	12
Fri Jul 18 18:01:12 2025	1752850872	3	10	13	9
Fri Jul 18 18:01:11 2025	1752850871	1	12	13	11
Fri Jul 18 18:01:11 2025	1752850871	2	11	13	10
Fri Jul 18 18:01:11 2025	1752850871	3	10	13	10
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	11
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	12
Fri Jul 18 18:01:13 2025	1752850873	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	3	11	13	9
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	12
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	12
Fri Jul 18 18:01:11 2025	1752850871	6	8	13	7
Fri Jul 18 18:01:13 2025	1752850873	0	13	13	12
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	1	13	13	8
Fri Jul 18 18:01:11 2025	1752850871	1	13	13	12
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	12
Fri Jul 18 18:01:11 2025	1752850871	3	10	13	10
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	1	13	13	9
Fri Jul 18 18:01:11 2025	1752850871	2	12	13	10
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	12
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	12
Fri Jul 18 18:01:12 2025	1752850872	2	12	13	9
Fri Jul 18 18:01:11 2025	1752850871	3	11	13	6
Fri Jul 18 18:01:11 2025	1752850871	5	9	13	8
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	12
Fri Jul 18 18:01:11 2025	1752850871	1	12	13	12
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	7
Fri Jul 18 18:01:12 2025	1752850872	1	13	13	8
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	13
Fri Jul 18 18:01:12 2025	1752850872	0	13	13	13
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	13
Fri Jul 18 18:01:11 2025	1752850871	0	13	13	12
Fri Jul 18 18:01:11 2025	1752850871	4	10	13	9
Fri Jul 18 18:01:10 2025	1752850870	0	13	13	12
Fri Jul 18 18:01:13 2025	1752850873	0	13	14	11
Fri Jul 18 18:01:11 2025	1752850871	4	10	14	9
Fri Jul 18 18:01:13 2025	1752850873	0	13	14	12
Fri Jul 18 18:01:10 2025	1752850870	0	13	14	13
Fri Jul 18 18:01:10 2025	1752850870	0	13	14	12
Fri Jul 18 18:01:11 2025	1752850871	0	13	14	13
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	13
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	8
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	13
Fri Jul 18 18:01:11 2025	1752850871	8	5	14	5
Fri Jul 18 18:01:12 2025	1752850872	4	9	14	9
Fri Jul 18 18:01:10 2025	1752850870	1	13	14	13
Fri Jul 18 18:01:12 2025	1752850872	6	7	14	5
Fri Jul 18 18:01:11 2025	1752850871	5	9	14	8
Fri Jul 18 18:01:11 2025	1752850871	5	9	14	8
Fri Jul 18 18:01:11 2025	1752850871	0	13	14	12
Fri Jul 18 18:01:11 2025	1752850871	3	11	14	9
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	13
Fri Jul 18 18:01:10 2025	1752850870	1	13	14	13
Fri Jul 18 18:01:12 2025	1752850872	1	12	14	12
Fri Jul 18 18:01:12 2025	1752850872	2	12	14	11
Fri Jul 18 18:01:11 2025	1752850871	3	11	14	10
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	8
Fri Jul 18 18:01:12 2025	1752850872	2	11	14	10
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	13
Fri Jul 18 18:01:11 2025	1752850871	3	10	14	9
Fri Jul 18 18:01:12 2025	1752850872	3	11	14	11
Fri Jul 18 18:01:11 2025	1752850871	0	13	14	13
Fri Jul 18 18:01:11 2025	1752850871	1	13	14	7
Fri Jul 18 18:01:11 2025	1752850871	1	12	14	12
Fri Jul 18 18:01:13 2025	1752850873	1	13	14	12
Fri Jul 18 18:01:11 2025	1752850871	3	10	14	8
Fri Jul 18 18:01:11 2025	1752850871	4	9	14	8
Fri Jul 18 18:01:12 2025	1752850872	5	8	14	8
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	13
Fri Jul 18 18:01:11 2025	1752850871	3	10	14	9
Fri Jul 18 18:01:12 2025	1752850872	2	12	14	12
Fri Jul 18 18:01:11 2025	1752850871	1	12	14	11
Fri Jul 18 18:01:11 2025	1752850871	3	10	14	8
Fri Jul 18 18:01:12 2025	1752850872	1	13	14	8
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	11
Fri Jul 18 18:01:11 2025	1752850871	1	13	14	12
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	13
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	13
Fri Jul 18 18:01:11 2025	1752850871	1	13	14	12
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	8
Fri Jul 18 18:01:10 2025	1752850870	1	12	14	12
Fri Jul 18 18:01:12 2025	1752850872	4	9	14	7
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	11
Fri Jul 18 18:01:12 2025	1752850872	5	9	14	8
Fri Jul 18 18:01:11 2025	1752850871	2	11	14	11
Fri Jul 18 18:01:12 2025	1752850872	6	8	14	6
Fri Jul 18 18:01:10 2025	1752850870	1	13	14	13
Fri Jul 18 18:01:13 2025	1752850873	1	12	14	12
Fri Jul 18 18:01:11 2025	1752850871	0	14	14	13
Fri Jul 18 18:01:12 2025	1752850872	1	13	14	12
Fri Jul 18 18:01:11 2025	1752850871	8	6	14	6
Fri Jul 18 18:01:10 2025	1752850870	2	12	14	10
Fri Jul 18 18:01:10 2025	1752850870	1	13	14	12
Fri Jul 18 18:01:12 2025	1752850872	1	12	14	12
Fri Jul 18 18:01:10 2025	1752850870	0	13	14	13
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	13
Fri Jul 18 18:01:12 2025	1752850872	1	13	14	11
Fri Jul 18 18:01:12 2025	1752850872	0	14	14	13
Fri Jul 18 18:01:12 2025	1752850872	0	14	14	13
Fri Jul 18 18:01:11 2025	1752850871	0	13	14	11
Fri Jul 18 18:01:10 2025	1752850870	0	13	14	13
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	13
Fri Jul 18 18:01:11 2025	1752850871	0	13	14	12
Fri Jul 18 18:01:11 2025	1752850871	2	11	14	8
Fri Jul 18 18:01:11 2025	1752850871	1	12	14	12
Fri Jul 18 18:01:11 2025	1752850871	5	8	14	8
Fri Jul 18 18:01:12 2025	1752850872	5	8	14	6
Fri Jul 18 18:01:10 2025	1752850870	1	12	14	12
Fri Jul 18 18:01:11 2025	1752850871	7	6	14	5
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	8
Fri Jul 18 18:01:12 2025	1752850872	2	12	14	12
Fri Jul 18 18:01:10 2025	1752850870	0	13	14	13
Fri Jul 18 18:01:11 2025	1752850871	10	4	14	4
Fri Jul 18 18:01:12 2025	1752850872	2	12	14	11
Fri Jul 18 18:01:12 2025	1752850872	2	12	14	12
Fri Jul 18 18:01:12 2025	1752850872	1	12	14	9
Fri Jul 18 18:01:12 2025	1752850872	0	14	14	14
Fri Jul 18 18:01:11 2025	1752850871	4	10	14	8
Fri Jul 18 18:01:12 2025	1752850872	0	14	14	13
Fri Jul 18 18:01:10 2025	1752850870	0	14	14	13
Fri Jul 18 18:01:12 2025	1752850872	0	14	14	13
Fri Jul 18 18:01:11 2025	1752850871	0	14	14	14
Fri Jul 18 18:01:11 2025	1752850871	8	6	14	6
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	10
Fri Jul 18 18:01:12 2025	1752850872	2	12	14	11
Fri Jul 18 18:01:12 2025	1752850872	3	11	14	10
Fri Jul 18 18:01:12 2025	1752850872	0	14	14	13
Fri Jul 18 18:01:11 2025	1752850871	1	13	14	11
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	13
Fri Jul 18 18:01:11 2025	1752850871	3	10	14	10
Fri Jul 18 18:01:11 2025	1752850871	4	10	14	10
Fri Jul 18 18:01:11 2025	1752850871	1	12	14	12
Fri Jul 18 18:01:10 2025	1752850870	1	12	14	12
Fri Jul 18 18:01:10 2025	1752850870	0	14	14	13
Fri Jul 18 18:01:11 2025	1752850871	1	13	14	10
Fri Jul 18 18:01:11 2025	1752850871	1	13	14	13
Fri Jul 18 18:01:10 2025	1752850870	0	14	14	12
Fri Jul 18 18:01:12 2025	1752850872	2	12	14	11
Fri Jul 18 18:01:11 2025	1752850871	0	14	14	9
Fri Jul 18 18:01:11 2025	1752850871	4	10	14	5
Fri Jul 18 18:01:11 2025	1752850871	1	13	14	11
Fri Jul 18 18:01:12 2025	1752850872	0	14	14	14
Fri Jul 18 18:01:11 2025	1752850871	1	13	14	13
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	13
Fri Jul 18 18:01:12 2025	1752850872	2	12	14	9
Fri Jul 18 18:01:11 2025	1752850871	0	14	14	12
Fri Jul 18 18:01:11 2025	1752850871	3	11	14	10
Fri Jul 18 18:01:11 2025	1752850871	1	13	14	11
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	8
Fri Jul 18 18:01:12 2025	1752850872	4	9	14	9
Fri Jul 18 18:01:12 2025	1752850872	0	13	14	12
Fri Jul 18 18:01:11 2025	1752850871	1	13	14	11
Fri Jul 18 18:01:11 2025	1752850871	1	13	14	12
Fri Jul 18 18:01:12 2025	1752850872	1	13	14	12
